Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Coconut milk,  Spices","30.0, 20.0, 27.5, 60.0, 5.0, 2.5, 10.0, 5.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLI005, SLK006"
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Coconut milk,  Spices","30.0, 20.0, 27.5, 60.0, 5.0, 2.5, 10.0, 5.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLI005, SLK006"
Kottu Roti,Devilled Chicken,Kottu Roti with Devilled Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Curry leaves, Onion","30.0, 20.0, 27.5, 70.0, 5.0, 7.5, 10.0, 20.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLK009, SLD060"
Kottu Roti,Devilled Fish,Kottu Roti with Devilled Fish,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Fish,  Curry leaves, Onion","30.0, 20.0, 27.5, 20.0, 5.0, 7.5, 50.0, 5.0, 20.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLF006, SLK009, SLD060"
Kottu Roti,Seer Fish Curry,Kottu Roti with Seer Fish Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Seer fish,  Coconut milk","30.0, 20.0, 27.5, 20.0, 5.0, 12.5, 50.0, 25.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLF025,  SLI005"
Kottu Roti,Ginger Chicken,Kottu Roti with Ginger Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Ginger","30.0, 20.0, 27.5, 70.0, 5.0, 12.5, 25.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLK012"
Kiribath,Fish Ambul Thiyal,Kiribath with Fish Ambul Thiyal,"Rice,  Coconut milk, Fish,  Goraka,  Spices","85.0, 15.0, 80.0, 10.0, 10.0","SLA009, SLI005, SLF006, SLK005, SLK006"
Kiribath,Dhal Curry,Kiribath with Dhal Curry,"Rice,  Coconut milk, Dhal,  Spices, Termeric powder","85.0, 25.0, 80.0, 5.0, 5.0","SLA009, SLI005, SLC009, SLK006, SLK019"
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Spices","85.0, 25.0, 40.0, 5.0","SLA009, SLI005, SLH006, SLK006"
Kiribath,Lunu Miris,Kiribath with Lunu Miris,"Rice,  Coconut milk, Onion,  Chili,  Salt, Lime","85.0, 15.0, 20.0, 50.0, 30.0","SLA009, SLI005, SLD060, SLK002, SLE028"
Kiribath,Seeni Sambol,Kiribath with Seeni Sambol,"Rice,  Coconut milk, Onion,  Sugar,  chillii","85.0, 15.0, 50.0, 5.0, 5.0","SLA009, SLI005, SLD060, SLI011, SLK002"
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Spices","85.0, 25.0, 40.0, 5.0","SLA009, SLI005, SLH006, SLK006"
Pittu,Lunu Miris,Pittu with Lunu Miris,"Rice flour,  Coconut, Onion,  Chili,  Salt, Lime","25.0, 10.0, 20.0, 50.0, 30.0","SLI019, SLI005, SLD060, SLK002, SLE028"
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices,  Coconut milk","100.0, 70.0, 15.0, 10.0","SLA008, SLH006, SLK006, SLI005"
