Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids,Energy(Kcal),Protein(g),Total fat(g),Carbohydrates(g),Total Dietary Fibre(g),Vitamin A(µg),Vitamin D(µg),Viatmin K(µg),Vitamin E(mg),Calcium(mg),Phosphorus(mg),Magnesium(mg),Sodium(mg),Potassium(mg),Saturated Fatty Acids(mg),Monounsaturated Fatty Acids(mg),Polyunsaturated Fatty Acids(mg),Free sugar(g),Starch(g),Meal Time
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken","30.0, 40.0, 30.0, 2.5, 40.0, 10.0, 5.0","SLB002, SLH006, SLJ002, SLK004, , SLI006",601.8,7.197,62.907,1.512,1.317,374.064,0.354,14.985,0.135,12.813,63.189,9.564,24.66,165.6,313.473,306.186,183.462,0.969,0.366,Dinner
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken","30.0, 40.0, 30.0, 2.5, 40.0, 10.0, 5.0","SLB002, SLH006, SLJ002, SLK004, , SLI006",601.8,7.197,62.907,1.512,1.317,374.064,0.354,14.985,0.135,12.813,63.189,9.564,24.66,165.6,313.473,306.186,183.462,0.969,0.366,Dinner
Kottu Roti,Devilled Chicken,Kottu Roti with Devilled Chicken,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken,  Chili,  Curry leaves","30.0, 40.0, 30.0, 2.5, 50.0, 10.0, 5.0, 0.25, 20.0","SLB002, SLH006, SLJ002, SLK004, , SLI006, SLD060",609.9,7.8,62.985,2.523,2.901,374.064,1.56,95.685,0.663,23.376,73.332,32.049,29.895,274.2,341.676,307.83,213.399,1.113,0.696,Dinner
Kottu Roti,Devilled Fish,Kottu Roti with Devilled Fish,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Fish,  Chili,  Curry leaves","30.0, 40.0, 30.0, 2.5, 50.0, 10.0, 5.0, 0.25, 20.0","SLB002, SLH006, SLJ002, SLK004, , SLF006, SLI006, SLD060",609.9,7.8,62.985,2.523,2.901,374.064,1.56,95.685,0.663,23.376,73.332,32.049,29.895,274.2,341.676,307.83,213.399,1.113,0.696,Dinner
Kottu Roti,Seer Fish Curry,Kottu Roti with Seer Fish Curry,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Seer fish","30.0, 40.0, 30.0, 2.5, 50.0, 25.0, 10.0","SLB002, SLH006, SLJ002, SLK004, , SLF025,  SLI005, SLK002",654.3,14.565,64.689,3.087,2.589,410.082,2.217,22.164,0.408,21.843,171.738,31.656,35.997,421.2,1021.173,640.428,731.262,1.269,0.942,Dinner
Kottu Roti,Ginger Chicken,Kottu Roti with Ginger Chicken,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken","30.0, 40.0, 30.0, 2.5, 50.0, 25.0, 10.0","SLB002, SLH006, SLJ002, SLK004, , SLK012, SLK002",630.3,8.55,63.378,5.916,3.969,390.018,2.853,30.537,0.312,25.095,95.037,38.616,29.061,399.6,419.673,338.361,421.962,1.662,2.091,Dinner
Kiribath,Fish Ambul Thiyal,Kiribath with Fish Ambul Thiyal,"Rice,  Coconut milk,  Salt, Fish,  Goraka,  Spices","50.0, 30.0, 2.5, 40.0, 0.5, 10.0","SLA009, SLI006, SLF006, SLE027, SLK004",652,4.505,51.44,42.475,1.59,0.215,0.215,2.455,0.065,13.58,102.515,20.525,1.275,156.5,426.54,319.18,506.635,1.405,37.745,Breakfast
Kiribath,Dhal Curry,Kiribath with Dhal Curry,"Rice,  Coconut milk,  Salt, Dhal,  Spices","50.0, 50.0, 2.5, 10.0, 5.0","SLA009, SLI006, SLC001, SLK004, SLK019",937,18.11,56.24,87.56,20.035,17.98,8.98,9.07,1.705,82.755,401,188.85,24.205,1766.5,1413.04,924.815,2541.635,1.045,79.265,Breakfast
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk,  Salt, Chicken,  Spices","50.0, 40.0, 2.5, 40.0, 5.0","SLA009, SLI006, SLH006, SLK004",721,15.89,55.68,38.795,1.59,3.44,0,17.16,0.16,9.895,186,25.94,16.015,235.5,710.04,787.315,509.635,0.09,37.745,Breakfast
Kiribath,Lunu Miris,Kiribath with Lunu Miris,"Rice,  Coconut milk,  Salt, Onion,  Chili","50.0, 30.0, 32.5, 20.0, 50.0","SLA009, SLI006, SLK016, SLE027, SLK011",263,7.885,1.51,53.35,4.355,0.215,1.095,3.465,0.09,20.905,153.515,32.56,6.585,345,398.255,322.545,537.565,3.855,45.59,Breakfast
