Meal_Id,Name,Meal_Ingredient_Ids,Meal_Ingredients_Names,Meal_Ingredient_Quantities,Category,Description,Supported_Main_Meals,Combinations_Supported,Max_Combinations,Min_Combinations,Morning_Probability,Lunch_Probability,Dinner_Probability
1,Kottu Roti,"SLI019,SLB002,SLD055,SLH006,SLK004,SLK002","Roti,carrot,leeks, Chicken,Coconut Oil,Chilli Powder","30,20,27.5,20,5,2.5",Main,Sri Lankan street food,,1,1,1,1,2.5,8
2,Hoppers,"SLI019,SLI005,SLI011,SLK004","Rice flour, Coconut milk, Sugar,Coconut Oil","70, 10, 5,15,",Main,Delicate rice flour pancakes,,0,,,8,0,8
3,Kiribath,"SLA009,SLI005","Rice, Coconut milk","85,15",Main,Traditional coconut milk rice,,1,1,1,9,1,0
4,Fish Ambul Thiyal,"SLF025,SLK005,SLK006","Fish, Goraka, Spices","80,10,10",Side,Sour fish curry,"3, 60, 61, 62, 151, 171",0,,,,,
5,Dhal Curry,"SLC009,SLI005,SLK006,SLK019","Dhal, Coconut milk, Spices,Termeric powder","80,10,5,5",Side,Spicy lentil curry,"3, 60, 61, 62, 151, 171",0,,,,,
7,Pol Sambol,"SLI005,SLK002,SLD060,SLE028,SLK011","Coconut, Chili, Onion,Lime,Garlic","50,5,10,3,3",Side,Coconut and chili relish,"12, 60, 171",0,,,,,
8,Pittu,"SLI019,SLI005","Rice flour, Coconut","25,10",Main,Steamed coconut rice flour,,1,1,1,8,6,4
9,Lamprais,"SLA008,SLH006,SLK006","Rice, Meat, Spices","100,30,10",Main,Dutch-influenced rice and curry,,1,1,1,4,9,9
10,Parippu,"SLC009,SLI005,SLK019","Dhal, Coconut milk,Termeric powder","10,10,5",Side,Creamy spiced lentil dish,"12, 25, 60, 151, 171",0,,,,,
11,Wambatu Moju,"SLD019,SLI017,SLD060,,SLD082","Eggplant, Vinegar,onion,tomato sause","20,0.5,5,5",Side,Sweet and tangy pickle,"25, 26, 27",0,,,,,
12,String Hoppers,SLI019,Rice flour,85,Main,Rice noodle bundles,,1,1,1,4,4,4
13,Jackfruit Curry,"SLD049,SLI005,SLK009","Jackfruit, Coconut milk,curry leaves","15,10,5",Side,Tender jackfruit in spices,"12, 60",0,,,,,
14,Gotu Kola Sambol,"SLD048,SLI005,SLD060","Gotu Kola, Coconut, Onion","10,15,15",Side,Herbal green salad,60,0,,,,,
15,Eggplant Curry,"SLD019,SLK006,SLI005,","Eggplant, Spices, Coconut milk","30,2,10",Side,Spicy eggplant dish,60,0,,,,,
16,Lunu Miris,"SLD060,SLK002,SLE028,SLK011","Onion, Chili, Salt,Lime,Garlic","20, 50, 30",Side,Spicy onion relish,"3, 8, 61, 62, 151",0,,,,,
17,Seeni Sambol,"SLD060,SLI011,SLK002","Onion, Sugar, chillii","50,5,5",Side,Sweet caramelized onions,"3, 151",0,,,,,
18,Beetroot Curry,"SLB001,SLI005,SLK006,SLK009","Beetroot, Coconut milk, Spices,curry leaves","30,20,5,2",Side,Sweet and spicy beetroot,60,0,,,,,
19,Fish Curry,"SLF013,SLI005,SLK006,SLK009","Fish, Coconut milk, Spices,curry leaves","50,20,3,2",Side,Spicy coconut fish curry,"60, 61, 62, 151, 171",0,,,,,
21,Chicken Curry,"SLH006, SLI005,SLK006,SLK009","Chicken, Coconut milk, Spices,curry leaves","50, 20,5,3",Side,Spicy chicken curry,"1, 3, 9, 12, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 60, 61, 62, 151, 152, 171, 198",0,,,,,
22,Bathala Curry,"SLB010,SLI005,SLK006,SLK009","Sweet potato, Coconut milk, Spices,curry leaves","50, 20,5,3",Side,Sweet potato curry,"60, 171",0,,,,,
23,Malu Mirisata,"SLF013,SLK002,SLK009","Fish, Chili, curry leaves","50, 10, 3",Side,Chili fish curry,"60, 61, 62, 151, 152, 171",0,,,,,
24,Elumas Curry,"SLH018,SLI005,SLK006,SLK009","Goat, Coconut milk, Spices,curry leaves","50,20,5,2",Side,Goat meat curry,"60, 151, 152, 171",0,,,,,
25,Vegetable Fried Rice,"SLA008,SLB002,SLD055,SLD060,SLK006,SLK009","Rice,carrot,leeks,onion, Spices,curry leaves","100,20,20,5,3,2.5",Main,Mixed vegetable rice,,1,2,2,4,7,7
26,Chicken Fried Rice,"SLA008,SLH006,SLD060,SLB002,SLD055,SLK006,SLK009","Rice, Chicken, onion, carrot,leeks,Spices,curry leaves","100,50,20,20,5,5",Main,Spicy chicken rice,,1,2,2,4,7,7
27,Egg Fried Rice,"SLA008,SLH001,SLD060,SLK006,SLK009,SLB002,SLD055","Rice, Egg, onion, Spices,curry leaves,carrort,leeks","100,30,10,5,3,2.5,20,20",Main,Egg mixed fried rice,,1,2,2,4,7,7
28,Seafood Fried Rice,"SLA008,SLI015,SLF045,SLF025,,SLD060,SLK006,SLK009","Rice,shrimp,crab, Oninon,Spices,curry leaves","100,10,10,5,3,2",Main,Mixed seafood rice,,1,2,2,4,7,7
29,Devilled Chicken,"SLH006,SLK002,SLK009,SLD060","Chicken, Chili, Curry leaves,Onion","50,5,10,20",Side,Sweet and spicy chicken,"1, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 60, 198",0,,,,,
30,Devilled Fish,"SLF025,SLK002,SLK009,SLD060","Fish, Chili, Curry leaves,Onion","50,5,5,20",Side,Sweet and spicy fish,"1, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 60, 198",0,,,,,
31,Vegetable Kottu,"SLA018, SLB002, SLD055, SLK002","Flour, Carrot, leeks, Chilli","70, 20, 20, 20",Main,Mixed vegetable stir-fry,,1,1,1,1,2.5,8
32,Chicken Kottu,"SLA018, SLB002, SLD055, SLH006, SLK002","Flour, Carrot, leeks, Chicken, Chilli","70, 20, 20, 40, 20",Main,Spicy chicken stir-fry,,1,1,1,1,2.5,8
33,Fish Kottu,"SLA018, SLB002, SLD055, SLF019,SLK002","Flour, Carrot, leeks, Fish, Chilli","70, 20, 20, 40, 20",Main,Spicy fish stir-fry,,1,1,1,1,2.5,8
34,Egg Kottu,"SLA018, SLB002, SLD055, SLH001, SLK002","Flour, Carrot, leeks, Egg, Chilli","70, 20, 20, 40, 20",Main,Spicy egg stir-fry,,1,1,1,1,2.5,8
35,Seafood Kottu,"SLA018, SLB002, SLD055, SLF019, SLF043, SLK002","Flour, Carrot, leeks, Fish, Prawn,Chilli","70, 20, 20, 30,30, 20",Main,Mixed seafood stir-fry,,1,1,1,1,2.5,8
36,Chicken Biryani,"SLA008,SLH006,SLD060,SLK006,SLK009","Rice, Chicken, onion, Spices,curry leaves","100,50,20,5,3",Main,Spiced chicken rice,,1,1,1,1,2.5,8
37,Vegetable Biryani,"SLA008,SLB002, SLD055,SLD060,,SLK006,SLK009","Rice, carrot,leeks,onion, Spices,curry leaves","100,20,20,10,3,2.6",Main,Spiced vegetable rice,,1,2,2,1,2.5,8
38,Fish Biryani,"SLA008,SLF025,,SLD060,SLK006,SLK009","Rice, Fish, ,onion, Spices,curry leaves","100,50,20,5,3",Main,Spiced fish rice,,1,2,2,1,2.5,8
39,Egg Biryani,"SLA008,SLH001,SLD060,SLK006,SLK009","Rice, Egg, onion, Spices,curry leaves","100,50,20,5,3",Main,Spiced egg rice,,1,2,2,1,2.5,8
40,Seafood Biryani,"SLA008,SLI015,SLF045,SLD060,SLK006,SLK009","Rice, shrimp,crub, Oninon,Spices,curry leaves","100,20,20,5,3,2.9",Main,Spiced seafood rice,,1,1,1,1,2.5,8
42,Potato Curry,"SLB006,SLI005,SLK006,SLK009,SLK019","Potato, Coconut milk, Spices,curry leaves,Turmeric Powder","20,30,10,5,2",Side,Spicy potato curry,"12, 60, 171",0,,,,,
43,Banana Blossom Curry,"SLD065,SLI005,SLK006","Banana blossom, Coconut milk, Spices","20,10,5",Side,Banana blossom in spices,60,0,,,,,
44,Cabbage Mallung,"SLD021,SLI005,SLK006","Cabbage, Coconut, Spices","20,10,5",Side,Coconut cabbage stir-fry,60,0,,,,,
45,Drumstick Curry,"SLD041,SLI005,SLK006","Drumstick, Coconut milk, Spices","50, 20, 05",Side,Drumstick vegetable curry,60,0,,,,,
46,Carrot Curry,"SLB002,SLI005,SLK006","Carrot, Coconut milk, Spices","50, 20, 5",Side,Spiced carrot curry,60,0,,,,,
47,Bean Curry,"SLD006,SLI005,SLK006","Beans, Coconut milk, Spices","30, 40, 30",Side,Green bean curry,60,0,,,,,
48,Brinjal Moju,"SLD019, SLI017, SLK006","Eggplant, Vinegar, Spices","30, 40, 30",Side,Spicy eggplant pickle,60,0,,,,,
