Day Menu,Total Calories,Total Protein (g),Total Fat (g),Total Fiber (g)
High-Protein Lunch + Heart-Healthy Meal + Low-Fat Lunch,1750,110,50,23
Vegan Dinner + Keto Snack + Diabetic-Friendly Dinner,1400,55,52,22
Weight Loss Plan + Vegan Dinner + High-Fiber Dinner,1650,80,43,28
High-Protein Lunch + Balanced Meal + Weight Gain Plan,2400,150,90,23
Weight Gain Plan + Low-Carb Snack + Weight Loss Plan,1800,115,68,16
High-Protein Lunch + Low-Carb Snack + Low-Fat Lunch,1350,90,45,15
High-Calorie Breakfast + Balanced Meal + Keto Snack,1600,80,75,16
High-Calorie Breakfast + Low-Fat Lunch + Weight Gain Plan,2450,135,95,19
High-Calorie Breakfast + Keto Snack + Vegan Dinner,1700,70,75,19
Keto Snack + Low-Fat Lunch + High-Calorie Breakfast,1550,75,70,14
Balanced Meal + High-Protein Lunch + Low-Calorie Breakfast,1550,100,50,19
Heart-Healthy Meal + Protein-Rich Meal + Diabetic-Friendly Dinner,1850,120,57,28
Low-Calorie Breakfast + High-Protein Lunch + Low-Fat Lunch,1500,95,45,17
Vegan Dinner + Low-Carb Snack + High-Fiber Dinner,1450,65,45,24
Weight Loss Plan + High-Protein Lunch + Heart-Healthy Meal,1700,115,48,24
Diabetic-Friendly Dinner + Vegan Dinner + Low-Carb Snack,1300,60,37,21
Heart-Healthy Meal + High-Protein Lunch + Low-Carb Snack,1500,100,50,20
Heart-Healthy Meal + High-Protein Lunch + Weight Gain Plan,2500,155,90,26
Vegan Dinner + High-Fiber Dinner + Keto Snack,1550,60,60,25
Weight Gain Plan + Gluten-Free Lunch + High-Calorie Breakfast,2550,140,103,21
High-Fiber Dinner + Low-Carb Snack + Gluten-Free Lunch,1400,75,48,21
Protein-Rich Meal + Weight Gain Plan + High-Fiber Dinner,2600,160,100,29
Weight Gain Plan + Diabetic-Friendly Dinner + High-Fiber Dinner,2350,125,82,29
Balanced Meal + Vegan Dinner + Protein-Rich Meal,1850,110,60,26
Protein-Rich Meal + Low-Carb Snack + Diabetic-Friendly Dinner,1450,100,52,20
Keto Snack + Diabetic-Friendly Dinner + High-Fiber Dinner,1450,65,57,24
High-Protein Lunch + Balanced Meal + Keto Snack,1500,90,65,18
Diabetic-Friendly Dinner + Gluten-Free Lunch + Vegan Dinner,1650,75,45,26
Vegan Dinner + Gluten-Free Lunch + Low-Fat Lunch,1600,75,43,22
Low-Carb Snack + Weight Loss Plan + Diabetic-Friendly Dinner,1100,70,30,17
Balanced Meal + Low-Carb Snack + Gluten-Free Lunch,1250,75,43,16
Diabetic-Friendly Dinner + Balanced Meal + Protein-Rich Meal,1750,115,57,25
Low-Fat Lunch + Balanced Meal + High-Protein Lunch,1650,105,50,20
Heart-Healthy Meal + Low-Fat Lunch + Balanced Meal,1550,90,40,22
Diabetic-Friendly Dinner + Heart-Healthy Meal + Weight Loss Plan,1500,90,35,25
Weight Gain Plan + Low-Calorie Breakfast + Vegan Dinner,2150,110,75,22
Balanced Meal + Diabetic-Friendly Dinner + Heart-Healthy Meal,1600,90,42,26
Weight Loss Plan + High-Protein Lunch + High-Calorie Breakfast,1900,120,68,20
High-Calorie Breakfast + Gluten-Free Lunch + Heart-Healthy Meal,1950,105,68,23
Keto Snack + Weight Gain Plan + High-Calorie Breakfast,2300,120,110,17
Vegan Dinner + Weight Loss Plan + High-Fiber Dinner,1650,80,43,28
Weight Loss Plan + Keto Snack + High-Protein Lunch,1400,90,58,17
Weight Gain Plan + High-Calorie Breakfast + Gluten-Free Lunch,2550,140,103,21
High-Fiber Dinner + Gluten-Free Lunch + Low-Fat Lunch,1650,85,48,24
High-Fiber Dinner + Low-Calorie Breakfast + Balanced Meal,1500,80,45,23
High-Protein Lunch + Gluten-Free Lunch + Heart-Healthy Meal,1850,115,58,25
Balanced Meal + Vegan Dinner + Low-Carb Snack,1300,65,40,19
High-Protein Lunch + Heart-Healthy Meal + Low-Fat Lunch,1750,110,50,23
Heart-Healthy Meal + Diabetic-Friendly Dinner + Keto Snack,1400,70,52,22
Balanced Meal + Weight Loss Plan + Heart-Healthy Meal,1500,95,38,23
